provincia,ano,semana,total_casos,periodo
ALTO AMAZONAS,2013,25,10,2013.4716981132076
ALTO AMAZONAS,2013,26,2,2013.4905660377358
ALTO AMAZONAS,2013,27,5,2013.5094339622642
ALTO AMAZONAS,2013,28,6,2013.5283018867924
ALTO AMAZONAS,2013,29,11,2013.5471698113208
ALTO AMAZONAS,2013,30,7,2013.566037735849
ALTO AMAZONAS,2013,31,7,2013.5849056603774
ALTO AMAZONAS,2013,32,14,2013.6037735849056
ALTO AMAZONAS,2013,33,18,2013.622641509434
ALTO AMAZONAS,2013,34,13,2013.6415094339623
ALTO AMAZONAS,2013,35,7,2013.6603773584907
ALTO AMAZONAS,2013,36,16,2013.6792452830189
ALTO AMAZONAS,2013,37,5,2013.698113207547
ALTO AMAZONAS,2013,38,9,2013.7169811320755
ALTO AMAZONAS,2013,39,3,2013.7358490566037
ALTO AMAZONAS,2013,40,6,2013.754716981132
ALTO AMAZONAS,2013,41,6,2013.7735849056603
ALTO AMAZONAS,2013,42,4,2013.7924528301887
ALTO AMAZONAS,2013,43,10,2013.811320754717
ALTO AMAZONAS,2013,44,5,2013.8301886792453
ALTO AMAZONAS,2013,45,1,2013.8490566037735
ALTO AMAZONAS,2013,46,7,2013.867924528302
ALTO AMAZONAS,2013,47,12,2013.8867924528302
ALTO AMAZONAS,2013,48,12,2013.9056603773586
ALTO AMAZONAS,2013,49,6,2013.9245283018868
ALTO AMAZONAS,2013,50,12,2013.9433962264152
ALTO AMAZONAS,2013,51,3,2013.9622641509434
ALTO AMAZONAS,2013,52,7,2013.9811320754718
ALTO AMAZONAS,2014,1,8,2014.0188679245282
ALTO AMAZONAS,2014,2,13,2014.0377358490566
ALTO AMAZONAS,2014,3,6,2014.0566037735848
ALTO AMAZONAS,2014,4,4,2014.0754716981132
ALTO AMAZONAS,2014,5,2,2014.0943396226414
ALTO AMAZONAS,2014,6,7,2014.1132075471698
ALTO AMAZONAS,2014,7,9,2014.132075471698
ALTO AMAZONAS,2014,8,10,2014.1509433962265
ALTO AMAZONAS,2014,9,9,2014.1698113207547
ALTO AMAZONAS,2014,10,12,2014.188679245283
ALTO AMAZONAS,2014,11,10,2014.2075471698113
ALTO AMAZONAS,2014,12,8,2014.2264150943397
ALTO AMAZONAS,2014,13,19,2014.245283018868
ALTO AMAZONAS,2014,14,30,2014.2641509433963
ALTO AMAZONAS,2014,15,10,2014.2830188679245
ALTO AMAZONAS,2014,16,27,2014.301886792453
ALTO AMAZONAS,2014,17,20,2014.3207547169811
ALTO AMAZONAS,2014,18,24,2014.3396226415093
ALTO AMAZONAS,2014,19,20,2014.3584905660377
ALTO AMAZONAS,2014,20,27,2014.377358490566
ALTO AMAZONAS,2014,21,24,2014.3962264150944
ALTO AMAZONAS,2014,22,23,2014.4150943396226
ALTO AMAZONAS,2014,23,32,2014.433962264151
